class,auto_coverage,n
0,0.8109345408815035,402358
1,0.8806627066485364,111784
2,0.27240218763146823,4754
3,0.4209940652818991,5392
4,0.47734375,1280
5,0.5471698113207547,742
6,0.4868421052631579,836
7,0.27102803738317754,2354
8,0.3654485049833887,301
9,0.24955062911923306,3338
10,0.36072144288577157,499
11,0.4123186561466022,11787
